Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,105.0,-55.5,180.0,top
C2,10uF,C_0603_1608Metric,98.0,-40.5,0.0,top
C3,100nF,C_0402_1005Metric,98.0,-37.5,180.0,top
C4,10uF,C_0603_1608Metric,92.95,-72.35,-90.0,top
C5,1uF,C_0603_1608Metric,84.95,-72.35,90.0,top
C6,100nF,C_0402_1005Metric,104.98,-57.0,180.0,top
C7,100nF,C_0402_1005Metric,106.0,-65.0,90.0,top
D1,LED,LED_0603_1608Metric,97.5,-66.0,90.0,top
L1,10 uH,R_1210_3225Metric,88.95,-68.35,180.0,top
R1,10k,R_0402_1005Metric,107.0,-59.0,180.0,top
R2,47k,R_0402_1005Metric,97.5,-69.0,180.0,top
R3,1.5k,R_0402_1005Metric,97.5,-63.0,-90.0,top
U2,SHT4x,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,104.0,-65.0,0.0,top
U3,LTC3525-3.3,SOT-363_SC-70-6,88.95,-72.35,270.0,top
U4,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,97.0,-55.0,270.0,top
XTAL1,16 MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,88.5,-58.5,90.0,top
