Comment,Designator,Footprint,LCSC
ATmega328P-A,U4,TQFP-32_7x7mm_P0.8mm,C14877
100nF,"C1,C3,C6,C7",C_0402_1005Metric,C1525
1uF,C5,C_0603_1608Metric,C15849
10uF,"C2,C4",C_0603_1608Metric,C19702
LED,D1,LED_0603_1608Metric,C2286
10k,R1,R_0402_1005Metric,C25744
47k,R2,R_0402_1005Metric,C25792
1.5k,R3,R_0402_1005Metric,C25867
SHT4x,U2,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,C5360602
LTC3525-3.3,U3,SOT-363_SC-70-6,C684862
10 uH,L1,R_1210_3225Metric,C701155
16 MHz,XTAL1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C882606
